CourseID,CourseCategory,CourseType,CourseLevel,CourseRating
C0001,Cloud Computing,Certification,Beginner,4.3
C0002,Data Science,Certification,Advanced,3.8
C0003,Data Science,Self-Paced,Intermediate,3.9
C0004,Marketing,Self-Paced,Advanced,3.3
C0005,Design,Certification,Beginner,3.9
C0006,Cloud Computing,Workshop,Beginner,3.5
C0007,Cloud Computing,Instructor-Led,Beginner,3.9
C0008,Data Science,Certification,Intermediate,3.8
C0009,Web Development,Instructor-Led,Beginner,4.1
C0010,Data Science,Self-Paced,Intermediate,3.8
C0011,Business,Certification,Advanced,4.1
C0012,Cloud Computing,Self-Paced,Advanced,3.7
C0013,Marketing,Self-Paced,Beginner,3.6
C0014,Cloud Computing,Certification,Intermediate,3.8
C0015,Business,Self-Paced,Intermediate,4.1
C0016,Marketing,Instructor-Led,Intermediate,3.6
C0017,Marketing,Instructor-Led,Intermediate,4.0
C0018,Data Science,Self-Paced,Beginner,3.5
C0019,Cybersecurity,Self-Paced,Beginner,3.8
C0020,Web Development,Instructor-Led,Intermediate,3.8
C0021,Marketing,Certification,Beginner,3.7
C0022,Data Science,Certification,Beginner,4.1
C0023,Data Science,Self-Paced,Intermediate,3.8
C0024,Business,Self-Paced,Beginner,3.6
C0025,Web Development,Self-Paced,Beginner,3.3
C0026,Cybersecurity,Self-Paced,Intermediate,4.1
C0027,Cloud Computing,Self-Paced,Intermediate,3.5
C0028,Data Science,Instructor-Led,Advanced,3.1
C0029,Web Development,Self-Paced,Intermediate,3.1
C0030,Cloud Computing,Self-Paced,Intermediate,3.6
C0031,Design,Self-Paced,Intermediate,3.7
C0032,Data Science,Self-Paced,Intermediate,3.7
C0033,Data Science,Self-Paced,Intermediate,3.3
C0034,Design,Instructor-Led,Beginner,3.7
C0035,Personal Development,Certification,Intermediate,4.2
C0036,Business,Workshop,Intermediate,3.3
C0037,Business,Self-Paced,Beginner,3.5
C0038,Business,Certification,Beginner,4.0
C0039,Data Science,Self-Paced,Intermediate,3.4
C0040,Web Development,Certification,Intermediate,4.0
C0041,Data Science,Self-Paced,Advanced,3.3
C0042,Design,Certification,Beginner,4.2
C0043,Web Development,Self-Paced,Advanced,3.5
C0044,Web Development,Self-Paced,Advanced,3.4
C0045,Business,Certification,Advanced,4.5
C0046,Cybersecurity,Instructor-Led,Advanced,4.2
C0047,Cloud Computing,Self-Paced,Intermediate,3.8
C0048,Cloud Computing,Workshop,Beginner,3.1
C0049,Data Science,Self-Paced,Advanced,3.5
C0050,Design,Self-Paced,Advanced,3.3
C0051,Cloud Computing,Instructor-Led,Advanced,3.7
C0052,Data Science,Self-Paced,Beginner,3.8
C0053,Data Science,Instructor-Led,Intermediate,3.3
