UserID,Age,Gender,TotalCoursesEnrolled,NumCategoriesExplored,AvgCoursesPerCategory,EnrollmentFrequency,PreferredCategory,PreferredLevel,AvgCourseRatingEnrolled,AvgSpendPerLearner,TotalSpend,DiversityScore,LearningDepthIndex,BeginnerShare,AdvancedShare,CertificationShare,ActiveSpanDays
U00001,21,Male,8,4,2.0,2.962962962962963,Data Science,Intermediate,3.8,70.2,561.6,4,0.75,0.25,0.0,0.375,51
U00002,27,Male,7,2,3.5,0.853658536585366,Business,Intermediate,3.628571428571429,73.20285714285716,512.4200000000001,2,1.0,0.0,0.14285714285714285,0.2857142857142857,216
U00003,37,Female,7,2,3.5,0.8860759493670886,Web Development,Advanced,3.585714285714286,72.40571428571428,506.84,2,0.7142857142857143,0.2857142857142857,0.42857142857142855,0.2857142857142857,207
U00004,33,Male,10,5,2.0,1.675977653631285,Web Development,Beginner,3.6100000000000003,49.846,498.46,5,0.5,0.5,0.1,0.2,149
U00005,28,Male,4,2,2.0,0.8275862068965516,Cloud Computing,Intermediate,3.6999999999999997,73.09249999999999,292.36999999999995,2,0.5,0.5,0.0,0.5,115
U00006,28,Male,3,2,1.5,0.8910891089108911,Personal Development,Advanced,4.266666666666667,111.67666666666666,335.03,2,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,71
U00007,16,Male,4,1,4.0,0.6779661016949152,Cloud Computing,Intermediate,3.625,48.6875,194.75,1,0.75,0.25,0.25,0.0,147
U00008,20,Male,2,1,2.0,0.29411764705882354,Cloud Computing,Beginner,3.75,47.63,95.26,1,0.0,1.0,0.0,0.5,174
U00009,16,Male,6,1,6.0,1.1688311688311688,Data Science,Beginner,3.5499999999999994,51.10666666666666,306.64,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.16666666666666666,124
U00010,40,Male,3,1,3.0,0.6293706293706294,Design,Beginner,3.3333333333333335,22.763333333333332,68.28999999999999,1,0.3333333333333333,0.6666666666666666,0.0,0.0,113
U00011,19,Male,3,2,1.5,1.40625,Business,Intermediate,3.633333333333333,62.10999999999999,186.32999999999998,2,1.0,0.0,0.3333333333333333,0.0,34
U00012,29,Male,3,1,3.0,0.5113636363636364,Data Science,Beginner,3.6333333333333333,18.983333333333334,56.95,1,0.3333333333333333,0.6666666666666666,0.0,0.0,146
U00013,31,Male,7,4,1.75,0.9012875536480687,Personal Development,Beginner,3.7857142857142856,71.08571428571429,497.6,4,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.42857142857142855,203
U00014,35,Male,6,4,1.5,1.5517241379310345,Cloud Computing,Beginner,3.766666666666667,56.116666666666674,336.70000000000005,4,0.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,86
U00015,37,Female,4,2,2.0,1.0,Data Science,Beginner,3.8249999999999997,69.9975,279.99,2,0.5,0.5,0.25,0.5,90
U00016,16,Male,7,2,3.5,0.7954545454545454,Cloud Computing,Beginner,3.585714285714286,55.635714285714286,389.45,2,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.14285714285714285,234
U00017,43,Male,7,3,2.3333333333333335,1.381578947368421,Cybersecurity,Advanced,3.742857142857143,80.62571428571428,564.38,3,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.14285714285714285,122
U00018,21,Male,3,1,3.0,1.4285714285714286,Cloud Computing,Advanced,3.6333333333333333,56.096666666666664,168.29,1,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,33
U00019,20,Female,5,2,2.5,1.2711864406779663,Data Science,Advanced,3.46,68.426,342.13,2,1.0,0.0,1.0,0.0,88
U00020,38,Female,5,2,2.5,1.0,Web Development,Advanced,3.96,95.792,478.96000000000004,2,1.0,0.0,0.8,0.4,120
U00021,34,Female,8,2,4.0,1.2903225806451613,Marketing,Intermediate,3.8625,79.89,639.12,2,1.0,0.0,0.375,0.25,156
U00022,34,Male,8,3,2.6666666666666665,0.729483282674772,Personal Development,Beginner,3.65,45.735,365.88,3,0.25,0.75,0.0,0.25,299
U00023,31,Male,12,4,3.0,1.3138686131386863,Data Science,Intermediate,3.483333333333333,54.86249999999999,658.3499999999999,4,0.5833333333333334,0.4166666666666667,0.08333333333333333,0.16666666666666666,244
U00024,24,Female,6,3,2.0,0.6741573033707865,Business,Intermediate,3.85,49.53833333333333,297.22999999999996,3,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.0,237
U00025,42,Male,2,2,1.0,0.46511627906976744,Marketing,Beginner,3.45,20.189999999999998,40.379999999999995,2,0.5,0.5,0.0,0.0,99
U00026,39,Male,3,1,3.0,0.6976744186046512,Cloud Computing,Advanced,3.9,89.75999999999999,269.28,1,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,99
U00027,20,Male,13,6,2.1666666666666665,0.9443099273607748,Cloud Computing,Beginner,3.576923076923076,51.28461538461538,666.6999999999999,6,0.15384615384615385,0.8461538461538461,0.07692307692307693,0.23076923076923078,383
U00028,18,Male,4,2,2.0,1.0169491525423728,Business,Intermediate,3.75,27.6125,110.45,2,0.5,0.5,0.0,0.0,88
U00029,43,Female,12,4,3.0,0.96,Personal Development,Beginner,3.691666666666667,39.571666666666665,474.86,4,0.3333333333333333,0.6666666666666666,0.08333333333333333,0.08333333333333333,345
U00030,30,Female,7,3,2.3333333333333335,0.7692307692307693,Cloud Computing,Beginner,3.6000000000000005,50.77428571428571,355.41999999999996,3,0.2857142857142857,0.7142857142857143,0.0,0.14285714285714285,243
U00031,20,Male,4,1,4.0,0.8695652173913044,Data Science,Beginner,3.675,51.105000000000004,204.42000000000002,1,0.25,0.75,0.0,0.25,108
U00032,18,Male,5,2,2.5,1.048951048951049,Personal Development,Advanced,3.8199999999999994,52.088,260.44,2,0.8,0.2,0.4,0.0,113
U00033,16,Male,2,1,2.0,0.6185567010309279,Web Development,Beginner,3.5999999999999996,43.754999999999995,87.50999999999999,1,0.0,1.0,0.0,0.0,67
