TransactionID,UserID,CourseID,TransactionDate,Amount
T000001,U00001,C0146,2026-05-17,38.4
T000002,U00001,C0052,2026-06-01,19.71
T000003,U00001,C0069,2026-05-26,65.9
T000004,U00001,C0008,2026-06-01,135.24
T000005,U00001,C0144,2026-06-01,110.78
T000006,U00001,C0081,2026-06-01,133.66
T000007,U00001,C0027,2026-06-01,37.79
T000008,U00001,C0118,2026-04-11,20.12
T000009,U00002,C0036,2024-03-19,44.51
T000010,U00002,C0020,2024-04-12,73.71
T000011,U00002,C0145,2024-03-23,30.77
T000012,U00002,C0143,2024-04-28,112.59
T000013,U00002,C0119,2024-03-12,69.97
T000014,U00002,C0011,2024-03-26,135.75
T000015,U00002,C0150,2024-10-14,45.12
T000016,U00003,C0078,2025-06-15,24.73
T000017,U00003,C0081,2025-06-30,106.65
T000018,U00003,C0037,2025-09-13,20.0
T000019,U00003,C0043,2025-08-26,48.15
T000020,U00003,C0111,2026-01-08,49.83
T000021,U00003,C0096,2025-12-23,165.91
T000022,U00003,C0177,2025-10-19,91.57
T000023,U00004,C0026,2024-07-02,32.8
T000024,U00004,C0009,2024-10-20,52.24
T000025,U00004,C0019,2024-09-16,22.79
T000026,U00004,C0079,2024-08-17,21.89
T000027,U00004,C0159,2024-08-14,123.26
T000028,U00004,C0101,2024-11-23,52.96
T000029,U00004,C0067,2024-09-06,25.38
T000030,U00004,C0180,2024-09-09,23.74
T000031,U00004,C0029,2024-06-27,35.69
T000032,U00004,C0122,2024-08-31,107.71
T000033,U00005,C0075,2024-06-07,126.96
T000034,U00005,C0169,2024-03-06,34.69
T000035,U00005,C0110,2024-06-29,96.66
T000036,U00005,C0048,2024-05-09,34.06
T000037,U00006,C0095,2025-08-02,157.76
T000038,U00006,C0153,2025-09-11,62.16
T000039,U00006,C0156,2025-10-12,115.11
T000040,U00007,C0155,2025-03-02,43.3
T000041,U00007,C0051,2025-03-12,89.83
T000042,U00007,C0030,2024-12-17,30.9
T000043,U00007,C0006,2025-05-13,30.72
T000044,U00008,C0001,2024-06-25,78.03
T000045,U00008,C0154,2024-12-16,17.23
T000046,U00009,C0170,2025-05-03,23.2
T000047,U00009,C0118,2025-03-13,20.8
T000048,U00009,C0041,2025-04-19,57.55
T000049,U00009,C0147,2025-03-20,29.6
T000050,U00009,C0054,2025-04-08,138.29
T000051,U00009,C0055,2025-07-15,37.2
T000052,U00010,C0115,2025-04-13,22.7
T000053,U00010,C0072,2025-02-12,16.91
T000054,U00010,C0126,2025-06-05,28.68
T000055,U00011,C0177,2024-05-31,105.46
T000056,U00011,C0060,2024-06-24,35.92
T000057,U00011,C0126,2024-07-04,44.95
T000058,U00012,C0118,2024-03-24,16.24
T000059,U00012,C0018,2024-01-10,16.18
T000060,U00012,C0178,2024-06-04,24.53
T000061,U00013,C0050,2025-08-08,54.77
T000062,U00013,C0067,2025-05-28,20.44
T000063,U00013,C0159,2025-07-25,117.22
T000064,U00013,C0016,2025-06-05,67.15
T000065,U00013,C0090,2025-10-06,19.57
T000066,U00013,C0114,2025-07-26,109.86
T000067,U00013,C0001,2025-12-17,108.59
T000068,U00014,C0179,2025-01-08,31.43
T000069,U00014,C0164,2024-12-19,60.31
T000070,U00014,C0149,2025-03-15,48.25
T000071,U00014,C0006,2025-02-15,37.55
T000072,U00014,C0132,2025-01-25,56.55
T000073,U00014,C0001,2025-02-22,102.61
T000074,U00015,C0109,2025-11-02,106.03
T000075,U00015,C0131,2025-10-24,30.16
T000076,U00015,C0002,2026-01-22,125.65
T000077,U00015,C0078,2025-12-08,18.15
T000078,U00016,C0048,2025-07-15,32.42
T000079,U00016,C0047,2025-08-03,30.52
T000080,U00016,C0132,2025-06-26,63.28
T000081,U00016,C0045,2025-12-16,110.87
T000082,U00016,C0051,2025-11-18,87.42
T000083,U00016,C0036,2026-02-15,43.56
T000084,U00016,C0037,2025-09-05,21.38
T000085,U00017,C0051,2026-01-30,101.11
T000086,U00017,C0012,2026-04-20,58.79
T000087,U00017,C0145,2026-03-25,37.43
T000088,U00017,C0046,2026-03-19,102.05
T000089,U00017,C0038,2026-05-14,126.24
T000090,U00017,C0074,2026-06-01,73.41
T000091,U00017,C0164,2026-05-09,65.35
T000092,U00018,C0099,2024-07-16,45.13
T000093,U00018,C0051,2024-08-03,82.09
T000094,U00018,C0012,2024-08-18,41.07
T000095,U00019,C0041,2025-12-07,59.03
T000096,U00019,C0153,2026-01-16,58.66
T000097,U00019,C0107,2026-02-15,60.64
T000098,U00019,C0097,2026-03-05,113.71
T000099,U00019,C0138,2026-02-16,50.09
T000100,U00020,C0012,2025-06-23,55.79
T000101,U00020,C0051,2025-07-26,98.99
T000102,U00020,C0166,2025-08-16,126.34
T000103,U00020,C0096,2025-09-16,140.71
T000104,U00020,C0043,2025-10-21,57.13
T000105,U00021,C0125,2026-01-28,74.98
T000106,U00021,C0017,2025-12-24,69.96
T000107,U00021,C0026,2026-01-15,33.24
T000108,U00021,C0016,2026-05-01,75.71
T000109,U00021,C0161,2026-04-26,51.93
T000110,U00021,C0046,2026-03-31,92.33
T000111,U00021,C0141,2026-05-29,122.71
T000112,U00021,C0159,2026-04-06,118.26
T000113,U00022,C0085,2025-10-21,35.42
T000114,U00022,C0180,2025-11-20,18.16
T000115,U00022,C0094,2025-08-06,21.03
T000116,U00022,C0114,2025-10-28,117.73
T000117,U00022,C0037,2025-12-25,19.77
T000118,U00022,C0015,2026-04-10,31.69
T000119,U00022,C0019,2026-03-03,15.46
T000120,U00022,C0110,2026-06-01,106.62
T000121,U00023,C0115,2024-04-10,35.07
T000122,U00023,C0031,2024-06-24,34.56
T000123,U00023,C0063,2024-02-17,57.26
T000124,U00023,C0097,2024-01-20,94.26
T000125,U00023,C0068,2024-08-16,20.61
T000126,U00023,C0105,2024-02-09,21.0
T000127,U00023,C0029,2024-05-28,39.15
T000128,U00023,C0086,2024-09-18,120.0
T000129,U00023,C0083,2024-09-20,57.53
T000130,U00023,C0104,2024-08-31,33.27
T000131,U00023,C0159,2024-05-13,111.24
T000132,U00023,C0033,2024-02-16,34.4
T000133,U00024,C0119,2024-09-30,72.18
T000134,U00024,C0017,2024-12-23,80.57
T000135,U00024,C0085,2025-01-30,37.93
T000136,U00024,C0127,2025-02-22,21.19
T000137,U00024,C0153,2025-05-25,53.65
T000138,U00024,C0145,2024-11-27,31.71
T000139,U00025,C0171,2025-10-22,15.64
T000140,U00025,C0146,2026-01-29,24.74
T000141,U00026,C0051,2025-06-06,95.74
T000142,U00026,C0012,2025-06-28,62.84
T000143,U00026,C0001,2025-09-13,110.7
T000144,U00027,C0068,2024-09-20,20.99
T000145,U00027,C0171,2024-09-30,21.35
T000146,U00027,C0110,2024-11-01,105.69
T000147,U00027,C0035,2024-11-24,130.42
T000148,U00027,C0113,2025-03-30,19.2
T000149,U00027,C0099,2024-07-08,59.01
T000150,U00027,C0162,2025-01-05,22.26
T000151,U00027,C0051,2024-10-03,84.31
T000152,U00027,C0154,2024-11-03,21.22
T000153,U00027,C0137,2025-04-16,54.16
T000154,U00027,C0130,2024-12-09,21.67
T000155,U00027,C0001,2025-07-26,89.89
T000156,U00027,C0037,2024-12-17,16.53
T000157,U00028,C0133,2025-01-25,31.47
T000158,U00028,C0127,2025-02-08,21.25
T000159,U00028,C0112,2025-01-18,35.18
T000160,U00028,C0128,2025-04-16,22.55
T000161,U00029,C0007,2025-07-14,54.9
T000162,U00029,C0067,2025-06-12,23.99
T000163,U00029,C0085,2025-08-29,30.24
T000164,U00029,C0027,2025-10-04,36.35
T000165,U00029,C0068,2026-01-06,16.17
T000166,U00029,C0047,2025-11-11,30.13
T000167,U00029,C0180,2026-01-16,21.95
T000168,U00029,C0127,2025-10-18,22.55
T000169,U00029,C0094,2026-01-08,19.78
T000170,U00029,C0033,2025-07-23,29.89
T000171,U00029,C0121,2026-05-23,58.71
T000172,U00029,C0011,2026-05-18,130.2
T000173,U00030,C0006,2025-05-31,33.57
T000174,U00030,C0169,2025-04-04,30.74
T000175,U00030,C0090,2025-08-22,21.09
T000176,U00030,C0099,2025-07-05,54.49
T000177,U00030,C0174,2025-05-15,78.61
T000178,U00030,C0180,2025-05-09,21.51
T000179,U00030,C0110,2025-12-03,115.41
T000180,U00031,C0053,2025-12-28,79.16
T000181,U00031,C0052,2026-01-01,16.48
T000182,U00031,C0022,2026-04-15,87.54
T000183,U00031,C0018,2026-01-15,21.24
T000184,U00032,C0085,2025-05-12,40.65
T000185,U00032,C0157,2025-09-02,62.35
T000186,U00032,C0116,2025-06-10,73.09
T000187,U00032,C0179,2025-07-18,37.95
T000188,U00032,C0101,2025-06-05,46.4
T000189,U00033,C0009,2025-05-23,40.22
T000190,U00033,C0063,2025-07-29,47.29
T000191,U00034,C0012,2024-05-03,47.48
T000192,U00034,C0078,2024-09-21,20.57
T000193,U00034,C0051,2024-11-13,83.71
T000194,U00034,C0061,2024-09-18,30.68
T000195,U00035,C0146,2024-11-26,35.82
T000196,U00035,C0077,2024-07-28,39.67
T000197,U00035,C0046,2025-02-03,76.06
T000198,U00035,C0177,2025-02-01,101.47
T000199,U00035,C0026,2025-03-30,31.91
T000200,U00035,C0130,2025-02-18,19.41
T000201,U00035,C0074,2025-03-11,68.06
T000202,U00035,C0169,2025-01-09,36.75
T000203,U00036,C0046,2025-06-27,95.31
T000204,U00036,C0159,2025-08-29,105.7
T000205,U00036,C0149,2025-07-15,47.26
T000206,U00036,C0160,2025-11-13,51.59
T000207,U00037,C0019,2026-06-01,21.22
T000208,U00037,C0120,2026-05-14,55.96
T000209,U00037,C0026,2026-06-01,30.22
T000210,U00037,C0078,2026-06-01,19.49
T000211,U00038,C0046,2025-03-24,97.36
T000212,U00038,C0019,2025-05-15,20.43
T000213,U00038,C0016,2025-07-14,79.51
T000214,U00038,C0146,2025-06-30,32.65
T000215,U00038,C0164,2025-10-05,58.23
T000216,U00038,C0074,2025-06-30,68.89
T000217,U00038,C0152,2025-11-20,63.91
T000218,U00039,C0020,2025-07-04,57.36
T000219,U00040,C0094,2024-01-13,19.79
T000220,U00040,C0079,2024-01-17,21.43
T000221,U00040,C0054,2024-01-23,119.68
T000222,U00040,C0164,2024-01-01,60.03
T000223,U00040,C0156,2024-06-29,97.43
T000224,U00040,C0142,2024-06-21,33.35
T000225,U00040,C0062,2024-05-10,96.32
T000226,U00040,C0176,2024-12-11,111.57
T000227,U00040,C0025,2024-12-22,18.79
T000228,U00040,C0147,2024-09-20,34.21
T000229,U00041,C0134,2024-10-30,15.05
T000230,U00042,C0130,2024-06-16,23.27
T000231,U00042,C0149,2024-09-01,49.15
T000232,U00042,C0017,2024-08-28,74.46
T000233,U00042,C0154,2024-09-14,20.26
T000234,U00042,C0110,2025-02-28,100.46
T000235,U00042,C0074,2024-11-24,69.6
T000236,U00042,C0155,2024-10-22,50.77
T000237,U00042,C0159,2025-02-21,115.07
T000238,U00042,C0046,2024-08-20,86.78
T000239,U00043,C0017,2024-08-07,85.45
T000240,U00043,C0046,2024-07-25,103.83
T000241,U00043,C0108,2024-11-07,50.14
T000242,U00043,C0139,2024-09-12,83.47
T000243,U00043,C0100,2024-11-03,151.79
T000244,U00044,C0007,2025-09-26,40.47
T000245,U00044,C0155,2025-09-30,34.51
T000246,U00044,C0164,2025-11-08,41.39
T000247,U00045,C0129,2025-10-16,33.64
T000248,U00045,C0177,2025-08-14,83.67
T000249,U00045,C0043,2026-01-13,51.7
T000250,U00045,C0143,2026-01-08,93.8
T000251,U00045,C0056,2026-04-28,66.57
T000252,U00046,C0128,2024-09-08,17.67
T000253,U00046,C0071,2024-11-12,18.1
T000254,U00047,C0119,2025-12-21,76.46
T000255,U00047,C0015,2025-12-22,38.81
T000256,U00047,C0143,2026-01-20,141.47
T000257,U00047,C0097,2026-03-22,97.55
T000258,U00047,C0112,2026-04-15,34.24
